Criterion,Solver,Grid Size,N Trials,Computational Time (s),,,,,,,
Maximal Spread,CPLEX,25,3,0.59,,,,,,,
Maximal Spread,CPLEX,36,3,0.91,,,,,,,
Maximal Spread,CPLEX,49,3,1.72,,,,,,,
Maximal Spread,CPLEX,64,3,3.12,,,,,,,
Maximal Spread,CPLEX,81,3,4.89,,,,,,,
Maximal Spread,CPLEX,100,3,7.44,,,,,,,
Maximal Spread,CPLEX,121,3,11.23,,,,,,,
Maximal Spread,CPLEX,441,3,277.75,,,,,,,
Maximal Spread,CPLEX,121,4,12.1,,,,,,,
Maximal Spread,CPLEX,121,5,13.97,,,,,,,
Maximal Spread,CPLEX,121,6,15.19,,,,,,,
Maximal Spread,CPLEX,121,7,14.07,,,,,,,
Maximal Spread,CPLEX,121,8,20.43,,,,,,,
Maximal Spread,CPLEX,121,9,19.67,,,,,,,
Maximal Spread,CPLEX,121,10,58.79,,,,,,,
Maximal Spread,CPLEX,121,15,188.31,,,,,,,
Maximal Spread,CPLEX,121,20,10800,,,,,,,
Maximal Spread,CPLEX,121,50,,,,,,,,
Criterion,Solver,Grid Size,N Trials,Computational Time (s),,,,,,,
Maximal Spread,GUROBI,25,3,0.45,,,,,,,
Maximal Spread,GUROBI,36,3,0.94,,,,,,,
Maximal Spread,GUROBI,49,3,1.86,,,,,,,
Maximal Spread,GUROBI,64,3,3.16,,,,,,,
Maximal Spread,GUROBI,81,3,5.05,,,,,,,
Maximal Spread,GUROBI,100,3,7.85,,,,,,,
Maximal Spread,GUROBI,121,3,13.47,,,,,,,
Maximal Spread,GUROBI,441,3,417.81,,,,,,,
Maximal Spread,GUROBI,121,4,18.92,,,,,,,
Maximal Spread,GUROBI,121,5,24.94,,,,,,,
Maximal Spread,GUROBI,121,6,22.91,,,,,,,
Maximal Spread,GUROBI,121,7,25.74,,,,,,,
Maximal Spread,GUROBI,121,8,23.86,,,,,,,
Maximal Spread,GUROBI,121,9,26.88,,,,,,,
Maximal Spread,GUROBI,121,10,27.4,,,,,,,
Maximal Spread,GUROBI,121,15,31.25,,,,,,,
Maximal Spread,GUROBI,121,20,24.8,,,,,,,
Maximal Spread,GUROBI,121,50,24.05,,,,,,,
Criterion,Solver,Grid Size,N Trials,Computational Time (s),,,,,,,
Maximal Covering,CPLEX,25,3,0.78,,,,,,,
Maximal Covering,CPLEX,36,3,1.35,,,,,,,
Maximal Covering,CPLEX,49,3,2.73,,,,,,,
Maximal Covering,CPLEX,64,3,5.11,,,,,,,
Maximal Covering,CPLEX,81,3,8.73,,,,,,,
Maximal Covering,CPLEX,100,3,17.12,,,,,,,
Maximal Covering,CPLEX,121,3,27.43,,,,,,,
Maximal Covering,CPLEX,441,3,ERROR CODE: -1073741819 (0xC0000005),,,,,,,
Maximal Covering,CPLEX,121,4,30.61,,,,,,,
Maximal Covering,CPLEX,121,5,29.85,,,,,,,
