

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 14884           
  Cones                  : 0               
  Scalar variables       : 14763           
  Matrix variables       : 0               
  Integer variables      : 14762           

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 1.22
Presolved problem: 14763 variables, 14884 constraints, 58685 non-zeros
Presolved problem: 0 general integer, 14762 binary, 1 continuous
Clique table size: 14762
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        0        1        0        1.8799622863e+02     NA                   NA          1.3   
0        1        1        0        1.8799622863e+02     5.4068836781e-01     99.71       4.2   
0        1        1        0        2.8284271247e+00     5.4068836781e-01     80.88       5.1   
0        1        1        0        8.4852813742e-01     5.4068836781e-01     36.28       5.8   
Cut generation started.
0        1        1        0        8.4852813742e-01     5.4068836781e-01     36.28       10.3  
Cut generation terminated. Time = 2.38
0        6        1        0        8.4852813742e-01     5.4068836781e-01     36.28       12.7  
0        17       1        0        8.4852813742e-01     5.4068836781e-01     36.28       12.9  
0        28       1        0        8.4852813742e-01     5.4068836781e-01     36.28       13.1  
0        39       1        0        8.4852813742e-01     5.4068836781e-01     36.28       13.4  
0        50       1        0        8.4852813742e-01     5.4068836781e-01     36.28       13.7  
3        55       1        0        8.4852813742e-01     5.4068836781e-01     36.28       14.8  
14       66       1        0        8.4852813742e-01     5.4068836781e-01     36.28       16.3  
30       82       1        0        8.4852813742e-01     5.4068836781e-01     36.28       18.2  
53       105      1        0        8.4852813742e-01     5.4068836781e-01     36.28       19.5  
68       120      1        0        8.4852813742e-01     5.4068836781e-01     36.28       20.5  
79       131      1        0        8.4852813742e-01     5.4068836781e-01     36.28       21.0  
83       135      1        0        8.0000000000e-01     5.4068836781e-01     32.41       21.7  
108      154      1        0        7.2111025509e-01     5.4068836781e-01     25.02       22.3  
131      170      1        0        7.2111025509e-01     5.4068836781e-01     25.02       23.0  
147      183      1        0        7.2111000000e-01     5.4068836781e-01     25.02       23.9  
166      196      1        0        7.2111000000e-01     5.4068836781e-01     25.02       24.9  
177      207      1        0        7.2111000000e-01     5.4068836781e-01     25.02       25.3  
197      225      1        0        7.2111000000e-01     5.4068836781e-01     25.02       26.0  
213      240      1        0        7.2111000000e-01     5.4068836781e-01     25.02       26.8  
227      252      1        0        7.2111000000e-01     5.4068836781e-01     25.02       27.5  
242      267      1        0        7.2111000000e-01     5.4068836781e-01     25.02       29.0  
266      291      1        0        7.2111000000e-01     5.4068836781e-01     25.02       31.0  
278      303      1        0        7.2111000000e-01     5.4068836781e-01     25.02       31.9  
299      324      1        0        7.2111000000e-01     5.4068836781e-01     25.02       34.0  
318      343      1        0        7.2111000000e-01     5.4068836781e-01     25.02       34.8  
344      368      1        0        7.2111000000e-01     5.4068836781e-01     25.02       35.4  
358      382      1        0        7.2111000000e-01     5.4068836781e-01     25.02       36.1  
372      396      1        0        7.2111000000e-01     5.4068836781e-01     25.02       37.1  
383      407      1        0        7.2111000000e-01     5.4068836781e-01     25.02       37.5  
403      427      1        0        7.2111000000e-01     5.4068836781e-01     25.02       38.2  
420      444      1        0        7.2111000000e-01     5.4068836781e-01     25.02       39.1  
435      459      1        0        7.2111000000e-01     5.4068836781e-01     25.02       39.9  
451      475      1        0        7.2111000000e-01     5.4068836781e-01     25.02       40.9  
473      495      1        0        7.2111000000e-01     5.4068836781e-01     25.02       42.8  
487      506      1        0        7.2111000000e-01     5.4068836781e-01     25.02       44.3  
502      520      1        0        7.2111000000e-01     5.4068836781e-01     25.02       46.0  
514      532      1        0        7.2111000000e-01     5.4068836781e-01     25.02       46.6  
526      543      1        0        7.2111000000e-01     5.4068836781e-01     25.02       47.4  
538      555      2        3        7.2111000000e-01     5.4435486531e-01     24.51       61.9  
550      567      8        5        7.2111000000e-01     5.4957676763e-01     23.79       68.8  
563      580      19       8        7.2111000000e-01     5.4957676763e-01     23.79       72.4  
578      595      32       10       7.2111000000e-01     5.4957676763e-01     23.79       74.9  
595      612      41       12       7.2111000000e-01     5.4957676763e-01     23.79       76.9  
614      631      44       13       7.2111000000e-01     5.4957676763e-01     23.79       80.9  
630      647      50       15       7.2111000000e-01     5.4957676763e-01     23.79       83.2  
653      670      59       18       7.2111000000e-01     5.4957676763e-01     23.79       90.2  
668      685      60       19       7.2111000000e-01     5.4957676763e-01     23.79       92.3  
684      701      60       21       7.2111000000e-01     5.4957676763e-01     23.79       99.7  
695      712      63       21       7.2111000000e-01     5.4957676763e-01     23.79       101.5 
706      723      64       22       7.2111000000e-01     5.4957676763e-01     23.79       103.2 
721      738      63       23       7.2111000000e-01     5.4957676763e-01     23.79       106.3 
735      752      67       24       7.2111000000e-01     5.4957676763e-01     23.79       113.0 
756      773      66       25       7.2111000000e-01     5.4957676763e-01     23.79       115.7 
774      791      64       26       7.2111000000e-01     5.4957676763e-01     23.79       119.6 
788      805      66       26       7.2111000000e-01     5.4957676763e-01     23.79       122.4 
804      821      66       27       7.2111000000e-01     5.4957676763e-01     23.79       125.9 
829      846      65       28       7.2111000000e-01     5.4957676763e-01     23.79       136.4 
841      858      65       29       7.2111000000e-01     5.4957676763e-01     23.79       140.9 
863      880      69       30       7.2111000000e-01     5.4957676763e-01     23.79       146.0 
893      909      69       35       7.2111000000e-01     5.4957676763e-01     23.79       150.0 
911      927      67       7        7.2111000000e-01     5.5194324903e-01     23.46       153.7 
922      938      72       8        7.2111000000e-01     5.5194324903e-01     23.46       156.2 
942      958      76       9        7.2111000000e-01     5.5215024843e-01     23.43       165.0 
957      973      79       14       7.2111000000e-01     5.5215024843e-01     23.43       166.9 
974      990      84       9        7.2111000000e-01     5.5265320879e-01     23.36       169.0 
987      1003     85       15       7.2111000000e-01     5.5265320879e-01     23.36       174.9 
1003     1019     89       15       7.2111000000e-01     5.5265320879e-01     23.36       176.5 
1014     1030     88       10       7.2111000000e-01     5.5265320879e-01     23.36       179.2 
1033     1049     87       17       7.2111000000e-01     5.5266097710e-01     23.36       182.3 
1049     1065     91       41       7.2111000000e-01     5.5266097710e-01     23.36       190.2 
1068     1084     96       10       7.2111000000e-01     5.5266097710e-01     23.36       197.4 
1080     1096     98       12       7.2111000000e-01     5.5266097710e-01     23.36       200.6 
1102     1118     102      13       7.2111000000e-01     5.5278885593e-01     23.34       207.3 
1116     1132     108      14       7.2111000000e-01     5.5278885593e-01     23.34       209.9 
1130     1146     108      14       7.2111000000e-01     5.5321173572e-01     23.28       212.3 
1142     1158     112      15       7.2111000000e-01     5.5321173572e-01     23.28       217.2 
1155     1171     115      15       7.2111000000e-01     5.5321173572e-01     23.28       223.8 
1168     1184     120      15       7.2111000000e-01     5.5380117551e-01     23.20       234.2 
1183     1199     123      17       7.2111000000e-01     5.5380117551e-01     23.20       237.2 
1195     1211     129      16       7.2111000000e-01     5.5380117551e-01     23.20       240.5 
1208     1224     134      14       7.2111000000e-01     5.5380117551e-01     23.20       244.4 
1227     1243     139      10       7.2111000000e-01     5.5484974072e-01     23.06       255.9 
1249     1265     143      22       7.2111000000e-01     5.5484974072e-01     23.06       262.4 
1265     1281     151      29       7.2111000000e-01     5.5484974072e-01     23.06       263.9 
1286     1302     152      32       7.2111000000e-01     5.5484974072e-01     23.06       268.0 
1299     1314     151      33       7.2111000000e-01     5.5484974072e-01     23.06       270.0 
1313     1328     153      37       7.2111000000e-01     5.5484974072e-01     23.06       272.5 
1329     1344     157      38       7.2111000000e-01     5.5484974072e-01     23.06       275.1 
1344     1359     162      40       7.2111000000e-01     5.5484974072e-01     23.06       280.1 
1360     1375     162      42       7.2111000000e-01     5.5484974072e-01     23.06       283.0 
1379     1394     159      48       7.2111000000e-01     5.5484974072e-01     23.06       284.9 
1398     1413     160      49       7.2111000000e-01     5.5484974072e-01     23.06       292.2 
1409     1424     161      53       7.2111000000e-01     5.5484974072e-01     23.06       295.5 
1434     1449     164      59       7.2111000000e-01     5.5484974072e-01     23.06       301.0 
1455     1470     169      64       7.2111000000e-01     5.5484974072e-01     23.06       312.4 
1477     1492     171      69       7.2111000000e-01     5.5484974072e-01     23.06       314.2 
1492     1507     170      70       7.2111000000e-01     5.5484974072e-01     23.06       316.7 
1516     1531     170      73       7.2111000000e-01     5.5484974072e-01     23.06       319.2 
1531     1546     173      75       7.2111000000e-01     5.5484974072e-01     23.06       321.3 
1549     1564     175      78       7.2111000000e-01     5.5484974072e-01     23.06       326.7 
1571     1586     177      83       7.2111000000e-01     5.5484974072e-01     23.06       329.8 
1592     1607     174      88       7.2111000000e-01     5.5484974072e-01     23.06       334.7 
1615     1630     179      94       7.2111000000e-01     5.5484974072e-01     23.06       338.4 
1650     1665     176      105      7.2111000000e-01     5.5484974072e-01     23.06       345.2 
1661     1676     177      108      7.2111000000e-01     5.5484974072e-01     23.06       349.6 
1688     1703     178      117      7.2111000000e-01     5.5484974072e-01     23.06       352.1 
1705     1720     183      120      7.2111000000e-01     5.5484974072e-01     23.06       354.1 
1727     1742     183      123      7.2111000000e-01     5.5484974072e-01     23.06       356.0 
1739     1754     181      17       7.2111000000e-01     5.5491080084e-01     23.05       359.0 
1758     1773     182      19       7.2111000000e-01     5.5491080084e-01     23.05       362.6 
1776     1791     190      30       7.2111000000e-01     5.5491080084e-01     23.05       364.3 
1792     1807     196      31       7.2111000000e-01     5.5491080084e-01     23.05       367.1 
1810     1825     196      19       7.2111000000e-01     5.5492027744e-01     23.05       370.7 
1828     1843     194      14       7.2111000000e-01     5.5492027744e-01     23.05       372.9 
1844     1859     196      22       7.2111000000e-01     5.5492027744e-01     23.05       377.6 
1861     1876     195      25       7.2111000000e-01     5.5492027744e-01     23.05       381.4 
1879     1894     193      27       7.2111000000e-01     5.5492027744e-01     23.05       383.5 
1896     1911     198      28       7.2111000000e-01     5.5492027744e-01     23.05       384.9 
1913     1928     199      29       7.2111000000e-01     5.5492027744e-01     23.05       388.3 
1924     1939     202      22       7.2111000000e-01     5.5492027744e-01     23.05       392.7 
1940     1955     204      30       7.2111000000e-01     5.5492027744e-01     23.05       395.0 
1951     1966     211      30       7.2111000000e-01     5.5492027744e-01     23.05       398.3 
1971     1986     211      22       7.2111000000e-01     5.5498379600e-01     23.04       400.4 
1998     2013     208      33       7.2111000000e-01     5.5498379600e-01     23.04       402.4 
2018     2033     218      34       7.2111000000e-01     5.5498379600e-01     23.04       408.1 
2037     2052     225      35       7.2111000000e-01     5.5498379600e-01     23.04       414.4 
2052     2067     230      35       7.2111000000e-01     5.5498379600e-01     23.04       416.5 
2070     2085     226      36       7.2111000000e-01     5.5498379600e-01     23.04       421.0 
