

Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : LO (linear optimization problem)
  Constraints            : 7261            
  Cones                  : 0               
  Scalar variables       : 122             
  Matrix variables       : 0               
  Integer variables      : 121             

Optimizer started.
Mixed integer optimizer started.
Threads used: 6
Presolve started.
Presolve terminated. Time = 0.19
Presolved problem: 122 variables, 7261 constraints, 21901 non-zeros
Presolved problem: 0 general integer, 121 binary, 1 continuous
Clique table size: 0
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        0        1        0        -2.4368407767e-02    NA                   NA          0.2   
0        1        1        0        -2.4368407767e-02    -5.4609537448e+00    2.23e+04    0.3   
0        1        1        0        -2.8838972685e-01    -5.4609537448e+00    1.79e+03    0.3   
Cut generation started.
0        1        1        0        -2.8838972685e-01    -5.4609537448e+00    1.79e+03    0.5   
0        2        1        0        -2.8838972685e-01    -5.4419225494e+00    1.79e+03    0.6   
0        3        1        0        -2.8838972685e-01    -5.4226559806e+00    1.78e+03    0.8   
0        4        1        0        -2.8838972685e-01    -5.3182051076e+00    1.74e+03    0.9   
0        5        1        0        -2.8838972685e-01    -5.2609648643e+00    1.72e+03    0.9   
0        6        1        0        -2.8838972685e-01    -5.1665894872e+00    1.69e+03    1.0   
0        7        1        0        -2.8838972685e-01    -5.0789237014e+00    1.66e+03    1.1   
0        8        1        0        -2.8838972685e-01    -4.9964242316e+00    1.63e+03    1.2   
0        9        1        0        -2.8838972685e-01    -4.9144913386e+00    1.60e+03    1.2   
0        10       1        0        -2.8838972685e-01    -4.8315601379e+00    1.58e+03    1.3   
0        11       1        0        -2.8838972685e-01    -4.7442668020e+00    1.55e+03    1.4   
0        12       1        0        -2.8838972685e-01    -4.6519757934e+00    1.51e+03    1.4   
0        13       1        0        -2.8838972685e-01    -4.5634077948e+00    1.48e+03    1.5   
0        14       1        0        -2.8838972685e-01    -4.4848481578e+00    1.46e+03    1.6   
0        15       1        0        -2.8838972685e-01    -4.4108184219e+00    1.43e+03    1.7   
0        16       1        0        -2.8838972685e-01    -4.3396323238e+00    1.40e+03    1.8   
0        17       1        0        -2.8838972685e-01    -4.2716440690e+00    1.38e+03    1.8   
0        18       1        0        -2.8838972685e-01    -4.2077960907e+00    1.36e+03    1.9   
0        19       1        0        -2.8838972685e-01    -4.1431590465e+00    1.34e+03    2.0   
0        20       1        0        -2.8838972685e-01    -4.0828498041e+00    1.32e+03    2.1   
0        21       1        0        -2.8838972685e-01    -4.0272160220e+00    1.30e+03    2.2   
0        22       1        0        -2.8838972685e-01    -3.9794096290e+00    1.28e+03    2.3   
0        23       1        0        -2.8838972685e-01    -3.9270724290e+00    1.26e+03    2.3   
0        24       1        0        -2.8838972685e-01    -3.8789415402e+00    1.25e+03    2.4   
0        25       1        0        -2.8838972685e-01    -3.8351733492e+00    1.23e+03    2.5   
0        26       1        0        -2.8838972685e-01    -3.7986194762e+00    1.22e+03    2.6   
0        27       1        0        -2.8838972685e-01    -3.7574475570e+00    1.20e+03    2.6   
0        28       1        0        -2.8838972685e-01    -3.7401918675e+00    1.20e+03    2.7   
